"age","industry","title","context","salary","benefits","currency","currency.other","income_context","country","us_state","city","exp_total","exp_field","education","gender","race"
"25-34","computing or tech","ENGINEERING EXPERIENCE LEAD","More generic version might be: Software Engineering Manager",90000,NA,NA,"","","UNITED KINGDOM/UK",NA,"LONDON (BUT REMOTE)","11 - 20 years","11 - 20 years","Master's degree","Man","White"
"45-54","professional association in finance","VP MEMBERSHIP AND PROGRAMS","",140000,30000,NA,"","","UNITED STATES","New York","NEW YORK CITY","21 - 30 years",NA,"Master's degree","Woman","Black or African American, White"
"45-54","computing or tech","SR CONTENT DESIGNER","",135000,NA,NA,"","","UNITED STATES","California","SAN JOSE","21 - 30 years","21 - 30 years","College degree","Woman","Asian or Asian American, White"
"55-64","manufacturing, chemical","MATERIAL HANDLING SPECIALIST LEVEL 5","Job includes training new hires in SAP",67000,31000,NA,"","base, OT, profit sharing, 401 match","UNITED STATES","Wisconsin","STURTEVANT","41 years or more","21 - 30 years","Some college","Woman","White"
"25-34","engineering or manufacturing","ACCOUNT EXECUTIVE","",135000,14000,NA,"","","UNITED STATES","California","LOS ANGELES","5-7 years","2 - 4 years","College degree","Man","White"
"25-34","computing or tech","DATA ANALYST","",70000,0,NA,"","","UNITED STATES","Pennsylvania","PITTSBURGH","5-7 years","2 - 4 years","Master's degree","Woman","Asian or Asian American"
"35-44","utilities and telecommunications","PROJECT MANAGER","(Govt contacting IT network)",102000,0,NA,"","","UNITED STATES","Virginia","ARLINGTON","11 - 20 years","5-7 years","Master's degree","Woman","Asian or Asian American, White"
"25-34","marketing, advertising and pr","DIGITAL STRATEGIC PLANNER","Position within digital / social media marketing agency",720000,60000,"Other","THB","","THAILAND",NA,"BANGKOK","2 - 4 years","2 - 4 years","Master's degree","Woman","Asian or Asian American"
"25-34","computing or tech","CX LEAD AND SCRUM MASTER","QA Lead for a small team, Support Manager, and Scrum Master",87500,1000,NA,"","","UNITED STATES","Oregon","SALEM","11 - 20 years","5-7 years","College degree","Man","White"
"25-34","business or consulting","INDIGENOUS CONSULTATION & ENGAGEMENT ADMINISTRATOR","Under Canadian Law I facilitate Indigenous Consulation between recognized groups and the Crown. I also do research on past land claims between recognized groups and the Crown. ",70000,4000,NA,"","","CANADA",NA,"EDMONTON, ALBERTA","5-7 years","2 - 4 years","Master's degree","Woman","White"
"35-44","engineering or manufacturing","SENIOR PRINCIPAL ENGINEER","",160000,8000,NA,"","","UNITED STATES","California","SANTA CLARA","11 - 20 years","11 - 20 years","College degree","Woman","White"
"45-54","accounting, banking and finance","COMMUNICATIONS MANAGER","",110000,5000,NA,"","","UNITED STATES","Texas","DALLAS","21 - 30 years","21 - 30 years","College degree","Woman","White"
"35-44","education (higher education)","LIBRARIAN","",72587,0,NA,"","","CANADA",NA,"TORONTO","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","retail","CUSTOMER SERVICE MANAGER","I work under the Assistant Manager and supervise the cashiers, etc. ",41288,NA,NA,"","","UNITED STATES","Illinois","CHICAGO","8 - 10 years","5-7 years","Some college","Woman","Black or African American"
"35-44","media and digital","LITERARY AGENT","",70000,NA,NA,""," i am currently commission-only, so put my estimated earnings this year. Before going full commission, I earned a $29k salary (very low even for my industry) and about $35k in commission annually.","UNITED STATES","New York","NEW YORK CITY","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","social work","CLINICAL COORDINATOR","Licensed Professional Counselor ",61000,0,NA,"","","UNITED STATES","Pennsylvania","HARRISBURG","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"45-54","computing or tech","CUSTOMER SERVICE","",41600,NA,NA,"","","UNITED STATES","Indiana","INDIANAPOLIS","21 - 30 years","11 - 20 years","College degree","Man","White"
"35-44","computing or tech","IT MANAGER","",90000,NA,NA,"","","UNITED STATES","Texas","PLANO","11 - 20 years","11 - 20 years","Some college","Woman","White"
"25-34","health care","HEALTH COMMUNICATIONS","",64000,0,NA,"","","CANADA",NA,"NORTHERN ONTARIO","5-7 years","5-7 years","Master's degree","Woman","Hispanic, Latino, or Spanish origin, White"
"55-64","government and public administration","EXECUTIVE ASSISTANT","",89000,4000,NA,"","","UNITED STATES","California","SANTA MONICA","21 - 30 years","5-7 years","College degree","Woman","White"
"35-44","media and digital","SENIOR PRODUCER","",98500,NA,NA,"","","UNITED STATES","New York","NEW YORK CITY","11 - 20 years",NA,"College degree","Woman","White"
"35-44","education (higher education)","HUMAN RESOURCES GENERALIST","",48701,NA,NA,"","","UNITED STATES","Texas","GAINESVILLE","8 - 10 years","2 - 4 years","College degree","Woman","White"
"25-34","social work","ADOLESCENT SOCIAL WORKER","",65500,NA,NA,"","","UNITED STATES","New York","BROOKLYN","8 - 10 years",NA,"Master's degree","Woman","White"
"25-34","nonprofits","SENIOR ASSOCIATE, ANNUAL GIVING","Digital fundraising and individual giving ",72800,NA,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","5-7 years","2 - 4 years","College degree","Woman","White"
"25-34","government and public administration","IT SPECIALIST","Federal, GS-2210-13",103550,2000,NA,"","Bonus varies and is typically tied to performance awards.","UNITED STATES","Georgia","ATLANTA","11 - 20 years","11 - 20 years","Some college","Woman","White"
"45-54","education (higher education)","PROFESSOR"," at a community college",58000,7000,NA,"","","UNITED STATES","Texas","FORT WORTH","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","health care","PROGRAM MANAGER II","",68000,3000,NA,"","","UNITED STATES","Arizona","TUCSON","11 - 20 years",NA,"Master's degree","Woman","White"
"25-34","computing or tech","TEAM LEAD","",135000,0,NA,"","","CANADA",NA,"TORONTO","8 - 10 years",NA,"College degree","Man","White"
"25-34","education (higher education)","STUDENT PROGRAM ADVISOR","",59699,0,NA,"","My position is 44 weeks out of the year - during the academic year. I am unpaid during the summer. ","UNITED STATES","Wisconsin","MADISON","8 - 10 years","2 - 4 years","Master's degree","Woman","White"
"35-44","accounting, banking and finance","ACCOUNTING & AP SPECIALIST","",49000,4000,NA,"","","UNITED STATES","Utah","SALT LAKE CITY","21 - 30 years","11 - 20 years","College degree","Woman","White"
"25-34","media and digital","PRODUCT MANAGER","I'm level II (which is right below Senior PM)",135000,13500,NA,"","","UNITED STATES","New York","NEW YORK","5-7 years","2 - 4 years","College degree","Woman","Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
"35-44","engineering or manufacturing","SENIOR BUSINESS DEVELOPMENT MANAGER","",145000,36250,NA,"","","UNITED STATES","Wisconsin","MILWAUKEE","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"45-54","accounting, banking and finance","VICE PRESIDENT","",119000,4000,NA,"","","UNITED STATES","Delaware","WILMINGTON","11 - 20 years","5-7 years","Professional degree (MD, JD, etc.)","Man","White"
"35-44","art and design","PACKAGING DESIGNER","",68000,7500,NA,"","","UNITED STATES","Oregon","PORTLAND","21 - 30 years","21 - 30 years","High School","Man","White"
"25-34","nonprofits","OFFICE & BUILDING MANAGER","",82500,0,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","8 - 10 years","5-7 years","College degree","Woman","White"
"35-44","nonprofits","DIRECTOR ACQUISITION","",113000,NA,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","College degree","Woman","Black or African American"
"35-44","sales","SALES REP","",145000,NA,NA,"","I am full commission I don’t have a base salary. My salary ranges from 120k-160k annually.","UNITED STATES","Washington","SEATTLE","8 - 10 years",NA,"College degree","Man","White"
"25-34","marketing, advertising and pr","COPYWRITER","",51417,100,NA,"","","UNITED STATES","Wyoming","MADISON","5-7 years","5-7 years","College degree","Woman","White"
"45-54","government and public administration","MANAGER","Business Intelligence ",102500,0,NA,"","","CANADA",NA,"CHARLOTTETOWN","21 - 30 years",NA,"PhD","Woman","White"
"35-44","engineering or manufacturing","HR DIRECTOR","",170000,30000,NA,"","","CANADA",NA,"TORONTO","21 - 30 years","21 - 30 years","College degree","Woman","White"
"35-44","nonprofits","MAJOR GIFTS OFFICER","",69500,500,NA,"","","UNITED STATES","Virginia","ALEXANDRIA","11 - 20 years",NA,"Master's degree","Woman","White"
"35-44","food","PERSONAL CHEF","",130000,1000,NA,"","My day rate is $750, with a regular client I sometimes charge $500/day","UNITED STATES","California","LOS ANGELES","11 - 20 years",NA,"Some college","Woman","Black or African American, White"
"25-34","engineering or manufacturing","RFIC DESIGN ENGINEER","Electrical Engineering",105000,10000,NA,"","","UNITED STATES","Texas","AUSTIN","2 - 4 years","2 - 4 years","Master's degree","Man","White"
"25-34","insurance","SENIOR DIRECTOR OF ENGINEERING","",260000,65000,NA,"","","UNITED STATES","California","SAN FRANCISCO","11 - 20 years",NA,"College degree","Man","Asian or Asian American"
"25-34","media and digital","SEGMENT PRODUCER","",80000,NA,NA,"","","UNITED STATES","New York","NEW YORK CITY","5-7 years","5-7 years","College degree","Woman","White"
"35-44","education (higher education)","SENIOR LECTURER","",42000,1500,NA,"","","UNITED KINGDOM/UK",NA,"CHESTER","8 - 10 years",NA,"PhD","Woman","White"
"25-34","computing or tech","STAFF ACCOUNTANT","",56160,250,NA,"","","UNITED STATES","Maryland","DC AREA","5-7 years","2 - 4 years","College degree","Woman","White"
"25-34","transport or logistics","WAREHOUSE SUPERVISOR","",18532,0,NA,"","","UNITED KINGDOM/UK",NA,"CUMBRIA","11 - 20 years","2 - 4 years","College degree","Woman","White"
"45-54","accounting, banking and finance","VP OF EVENTS","",116513,8500,NA,"","","UNITED STATES",NA,"NEW YORK CITY","21 - 30 years","21 - 30 years","College degree","Woman","White"
"35-44","computing or tech","HAPPINESS ENGINEER","Technical Support",56000,NA,NA,"","","UNITED KINGDOM/UK",NA,"PREFER NOT TO SAY","11 - 20 years","5-7 years","High School","Man","White"
"25-34","computing or tech","SENIOR SOFTWARE ENGINEER","",165000,NA,NA,"","","UNITED STATES","California","OAKLAND","8 - 10 years","2 - 4 years","College degree","Woman","White"
"35-44","marketing, advertising and pr","SENIOR ART DIRECTOR","",1e+05,0,NA,"","","UNITED STATES","New York","NEW YORK CITY","11 - 20 years","11 - 20 years","College degree","Woman","White"
NA,"","","",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"",""
"35-44","nonprofits","OPERATIONS MANAGER","",47000,0,NA,"","","UNITED STATES","Maryland","SILVER SPRING","8 - 10 years","5-7 years","Master's degree","Woman","White"
"25-34","social work","TRAUMA THERAPIST","",48700,NA,NA,"","","UNITED STATES","New York","NYC","11 - 20 years","2 - 4 years","Master's degree","Woman","White"
"55-64","recruitment or hr","REGIONAL HR MANAGER","",52000,3000,NA,"","","UNITED STATES","Texas","COLLEGE STATION","21 - 30 years","11 - 20 years","College degree","Woman","White"
"35-44","law","ATTORNEY","",162000,NA,NA,"","","UNITED STATES","North Carolina","RALEIGH","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","retail","CUSTOMER EXPERIENCE ASSOCIATE","Customer Experience Associate",53000,1000,NA,"","","UNITED STATES","New York","NYC","8 - 10 years","5-7 years","College degree","Woman","White"
"18-24","hospitality and events","SERVER","",13600,NA,NA,"","","UNITED STATES","North Carolina","GREENSBORO","2 - 4 years","2 - 4 years","Some college","Woman","White"
"35-44","engineering or manufacturing","QUALITY ENGINEER","",136000,35000,NA,"","","UNITED STATES","Massachusetts","BOSTON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","nonprofits","SENIOR PROJECT MANAGER","",43000,NA,NA,"","","UNITED KINGDOM/UK",NA,"BRIGHTON","11 - 20 years","11 - 20 years",NA,"Woman","White"
"25-34","nonprofits","SENIOR DONOR ADVISOR","",75000,NA,NA,"","","UNITED STATES","New Jersey","REMOTE","5-7 years","5-7 years",NA,"",""
"35-44","business or consulting","IT CONSULTANT","",75000,12000,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","health care","QUALITY ASSURANCE","",96000,NA,NA,"","","UNITED STATES","Georgia","ATLANTA","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","science","RESEARCH SCIENTIST","",105000,18000,NA,"","","AUSTRALIA",NA,"GEELONG","8 - 10 years",NA,"PhD","Woman","White"
"35-44","communications","STRATEGIC COMMUNICATIONS MANAGER","",50220,0,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"45-54","computing or tech","SENIOR DELIVERABLITY CONSULTANT","I work in email, helping people understand how to get their mail delivered to the Inbox (secret hint:  send mail people want!)",110000,220000,NA,"","The additional is a bonus for making our goals - specifically achieving billable hours targets","UNITED STATES","California","SAN FRANCISCO BAY AREA","21 - 30 years","11 - 20 years","Some college","Woman","White"
"45-54","retail","IMPORT SOURCING MANAGER-APPAREL","",88000,2000,NA,"","","UNITED STATES","California","ORANGE COUNTY","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","computing or tech","SOFTWARE ENGINEER","",145000,5000,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","5-7 years","PhD","Man","White"
"45-54","accounting, banking and finance","MARKET MANAGER","",220000,50000,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","21 - 30 years","21 - 30 years","High School","Man","Hispanic, Latino, or Spanish origin"
"35-44","law","LEGAL ASSISTANT","",43000,1500,NA,"","","CANADA",NA,"NIAGARA FALLS","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","media and digital","PHOTOJOURNALIST","",35000,NA,NA,"","","UNITED STATES","Tennessee","CHATTANOOGA","11 - 20 years",NA,"College degree","Man","White"
"35-44","nonprofits","DATA ANALYTICS MANAGER","",74000,0,NA,"","Benefits include pension, public transport allowance, lunch allowance and 5 weeks paid leave","NETHERLANDS",NA,"UTRECHT","11 - 20 years","2 - 4 years","Master's degree","Man","White"
"25-34","computing or tech","VISUAL DESIGNER","",110000,1400,NA,"","Additional monetary income is the total yearly amount for our wfh, food, and wellness stipends","UNITED STATES","Illinois","CHICAGO (REMOTE)","5-7 years","5-7 years","College degree","Woman","White"
"35-44","health care","STERILIZATION TECH","",38400,NA,NA,"","","UNITED STATES","Washington","SEATTLE","11 - 20 years","2 - 4 years","College degree","Woman","Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White"
"25-34","nonprofits","SENIOR POLICY SPECIALIST","",65000,800,NA,"","","UNITED STATES","District of Columbia","DC","5-7 years","5-7 years","Master's degree","Woman","White"
"25-34","computing or tech","SOFTWARE ENGINEER","",55000,NA,NA,"","","UNITED KINGDOM/UK",NA,"GLASGOW","5-7 years","2 - 4 years","College degree","Woman","White"
"35-44","law","CHIEF PRIVACY OFFICER/COUNSEL","",190000,70000,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Asian or Asian American"
"45-54","education (primary/secondary)","TEACHER","",82000,0,NA,"","","UNITED STATES","Georgia","FAYETTEVILLE","21 - 30 years","21 - 30 years","Master's degree","","White"
"35-44","law","STAFF ATTORNEY","",85700,NA,NA,"","","UNITED STATES","Indiana","INDIANAPOLIS","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","White"
